Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Price_MA_24,Demand_MA_24
2022-11-01,8.5,13.3,3.0,44.0,12.0,64,13,991.3,13.2,59.0,11.0,991.5,207429.46,,,,,,,,,,,,,,
2022-11-02,6.9,15.7,2.8,43.0,11.0,65,9,1006.7,15.1,54.0,13.0,1008.4,233630.93,,,,,,,,,,,,,,
2022-11-03,9.1,15.4,0.4,31.0,11.5,70,9,1019.2,13.8,67.0,9.0,1021.3,235672.34,,,,,,,,,,,,,,
2022-11-04,10.2,17.8,0.2,24.0,12.3,84,6,1028.1,16.9,56.0,9.0,1026.6,224895.28,,,,,,,,,,,,,,
2022-11-05,11.8,22.7,0.0,31.0,14.0,78,9,1026.3,18.8,65.0,11.0,1023.2,189190.35,,,,,,,,,,,,,,
2022-11-06,11.6,27.1,0.0,33.0,17.9,63,9,1023.2,26.2,33.0,4.0,1019.9,177519.43,,,,,,,,,,,,,,
2022-11-07,13.9,25.9,0.0,24.0,19.7,64,4,1021.1,20.2,66.0,9.0,1019.1,210721.33,,,,,,,,,,,,,,
2022-11-08,14.6,27.6,0.0,35.0,21.8,57,15,1018.2,25.8,43.0,6.0,1015.9,215059.09,,,,,,,,,,,,,,
2022-11-09,15.6,29.3,2.8,35.0,20.8,67,13,1018.8,28.3,37.0,13.0,1015.4,216235.49,,,,,,,,,,,,,,
2022-11-10,19.8,26.4,0.0,54.0,23.8,50,17,1013.8,25.1,44.0,20.0,1011.7,222350.1,,,,,,,,,,,,,,
2022-11-11,18.7,20.2,3.0,30.0,18.7,80,11,1011.0,18.2,81.0,15.0,1010.4,224000.36,,,,,,,,,,,,,,
2022-11-12,14.2,19.3,0.0,26.0,15.7,69,7,1014.3,17.6,66.0,13.0,1010.9,188189.75,,,,,,,,,,,,,,
2022-11-13,15.4,24.8,6.6,44.0,19.1,88,9,1001.8,24.3,59.0,19.0,998.6,186415.69,,,,,,,,,,,,,,
2022-11-14,13.0,17.4,13.6,41.0,15.3,78,13,997.1,15.0,87.0,13.0,1003.6,210180.05,,,,,,,,,,,,,,
2022-11-15,8.0,13.1,14.2,43.0,10.1,72,7,1013.1,10.8,72.0,17.0,1013.1,222500.17,,,,,,,,,,,,,,
2022-11-16,7.2,14.8,0.6,43.0,11.0,64,11,1015.1,13.9,51.0,15.0,1015.9,229445.13,,,,,,,,,,,,,,
2022-11-17,9.6,16.3,3.2,33.0,13.1,71,13,1019.3,15.5,63.0,13.0,1018.7,229456.99,,,,,,,,,,,,,,
2022-11-18,7.2,24.5,0.0,28.0,12.5,70,7,1016.6,22.0,47.0,11.0,1010.9,202104.95,,,,,,,,,,,,,,
2022-11-19,12.5,22.3,0.0,59.0,19.3,52,9,1003.1,18.3,65.0,19.0,997.6,193709.44,,,,,,,,,,,,,,
2022-11-20,11.8,20.6,16.0,50.0,14.3,63,15,998.2,19.4,36.0,15.0,997.1,170252.78,,,,,,,,,,,,,,
2022-11-21,9.4,13.8,1.2,57.0,11.2,51,24,1001.8,11.8,64.0,17.0,1005.1,221336.77,,,,,,,,,,,,,,
2022-11-22,8.7,18.2,2.0,37.0,12.7,68,13,1012.9,18.0,58.0,9.0,1012.3,226370.66,,,,,,,,,,,,,,
2022-11-23,11.6,17.7,0.6,30.0,14.7,65,11,1015.6,16.1,77.0,6.0,1016.9,217492.79,,,,,,,,,,,,,,
2022-11-24,12.4,19.2,2.8,22.0,14.3,73,7,1021.0,17.0,63.0,7.0,1020.4,216644.01,11.7375,20.141666666666673,3.0416666666666665,37.375,15.283333333333333,67.75,10.875,1012.8166666666664,18.3875,58.875,12.25,1011.8541666666665,3.4566666666666666,4092.7120833333342
