Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Minimum temperature (°C)_bins,Maximum temperature (°C)_bins,Rainfall (mm)_bins,Speed of maximum wind gust (km/h)_bins,9am Temperature (°C)_bins,9am relative humidity (%)_bins,9am wind speed (km/h)_bins,9am MSL pressure (hPa)_bins,3pm Temperature (°C)_bins,3pm relative humidity (%)_bins,3pm wind speed (km/h)_bins,3pm MSL pressure (hPa)_bins,Minimum temperature (°C)_MA_24_bins,Maximum temperature (°C)_MA_24_bins,Rainfall (mm)_MA_24_bins,Speed of maximum wind gust (km/h)_MA_24_bins,9am Temperature (°C)_MA_24_bins,9am relative humidity (%)_MA_24_bins,9am wind speed (km/h)_MA_24_bins,9am MSL pressure (hPa)_MA_24_bins,3pm Temperature (°C)_MA_24_bins,3pm relative humidity (%)_MA_24_bins,3pm wind speed (km/h)_MA_24_bins,3pm MSL pressure (hPa)_MA_24_bins,Demand_bins
2022-11-24,12.4,19.2,2.8,22.0,14.3,73,7,1021.0,17.0,63.0,7.0,1020.4,216644.01,11.737499999999999,20.14166666666667,3.0416666666666665,37.375,15.283333333333333,67.75,10.875,1012.8166666666665,18.3875,58.875,12.25,1011.8541666666666,3,2,6,1,2,7,4,8,2,4,3,8,0,0,6,8,0,4,5,1,0,7,1,2,6
2022-11-25,11.6,20.6,0.0,22.0,14.3,75,9,1021.7,19.2,51.0,6.0,1020.0,204810.04,11.866666666666667,20.445833333333336,2.9166666666666665,36.458333333333336,15.379166666666668,68.20833333333333,10.708333333333334,1014.0833333333331,18.6375,58.541666666666664,12.041666666666666,1013.0416666666666,2,2,0,1,2,7,6,9,3,3,2,8,0,0,5,7,0,4,4,3,0,6,0,4,4
2022-11-26,10.9,27.3,0.0,54.0,16.8,66,11,1011.9,27.0,33.0,20.0,1004.6,180029.09,12.033333333333333,20.929166666666667,2.8000000000000003,36.916666666666664,15.620833333333335,68.25,10.791666666666666,1014.2999999999998,19.133333333333333,57.666666666666664,12.333333333333334,1012.8833333333332,2,5,0,8,4,5,7,5,6,1,12,2,0,0,5,7,0,4,5,3,0,6,1,4,2
2022-11-27,14.7,20.5,0.2,37.0,16.0,71,9,1004.5,19.5,51.0,9.0,1003.7,175137.85,12.266666666666666,21.141666666666666,2.7916666666666665,37.166666666666664,15.808333333333335,68.29166666666667,10.791666666666666,1013.6874999999999,19.370833333333334,57.0,12.333333333333334,1012.15,4,2,0,4,4,7,6,2,3,3,4,2,0,0,5,7,0,4,5,2,0,6,1,3,1
2022-11-28,9.7,18.8,0.2,31.0,14.0,61,11,1009.1,18.1,46.0,7.0,1008.0,203508.67,12.245833333333332,21.18333333333333,2.7916666666666665,37.458333333333336,15.879166666666668,67.33333333333333,11.0,1012.8958333333331,19.420833333333334,56.583333333333336,12.25,1011.375,1,2,0,3,2,4,7,4,3,2,3,3,0,0,5,8,0,3,5,2,0,5,1,2,4
2022-11-29,12.2,18.4,0.4,33.0,15.5,65,11,1015.6,17.7,52.0,13.0,1016.9,198748.03,12.262499999999998,21.004166666666666,2.8083333333333336,37.541666666666664,15.941666666666668,66.79166666666667,11.083333333333334,1012.4499999999998,19.375,56.041666666666664,12.333333333333334,1011.1125000000001,3,1,0,3,3,5,7,6,2,3,7,7,0,0,5,8,0,3,5,1,0,5,1,1,4
2022-11-30,11.6,18.4,0.0,31.0,16.0,58,9,1019.8,17.9,52.0,9.0,1017.7,203646.69,12.262499999999998,20.641666666666666,2.8083333333333336,37.458333333333336,15.862500000000002,66.58333333333333,11.083333333333334,1012.308333333333,19.029166666666665,56.833333333333336,12.541666666666666,1011.0208333333334,2,1,0,3,4,4,6,8,3,3,4,7,0,0,5,8,0,3,5,1,0,6,1,1,4
2022-12-01,12.1,18.8,0.0,35.0,17.0,73,11,1018.8,18.1,63.0,17.0,1017.7,205939.41,12.1875,20.34583333333333,2.8083333333333336,37.916666666666664,15.750000000000002,66.95833333333333,11.375,1012.2124999999997,18.941666666666666,56.708333333333336,12.875,1010.9625000000001,3,2,0,4,4,7,7,8,3,4,10,7,0,0,5,8,0,3,5,1,0,5,2,1,4
2022-12-02,9.4,21.4,0.0,26.0,15.0,74,6,1018.3,20.4,62.0,13.0,1015.4,202092.68,11.970833333333331,20.087499999999995,2.8083333333333336,37.541666666666664,15.466666666666669,67.66666666666667,11.0,1012.2166666666664,18.716666666666665,57.5,13.166666666666666,1010.9416666666667,1,3,0,2,3,7,4,7,4,4,7,6,0,0,5,8,0,4,5,1,0,6,2,1,4
2022-12-03,13.6,31.0,0.0,31.0,21.3,68,7,1015.7,28.8,42.0,13.0,1013.0,207301.71,11.887499999999998,20.158333333333328,2.691666666666667,37.375,15.487500000000002,67.70833333333333,10.75,1012.0874999999997,18.7375,57.708333333333336,13.166666666666666,1010.8416666666667,4,6,0,3,7,6,4,6,7,2,7,5,0,0,5,8,0,4,4,1,0,6,2,1,5
